tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0871291	tvEpisode	Episode dated 22 June 2003	Episode dated 22 June 2003	0	2003	\N	\N	Music
tt0871292	tvEpisode	Episode dated 12 February 2004	Episode dated 12 February 2004	0	2004	\N	\N	Music
tt0871293	tvEpisode	Episode dated 19 February 2004	Episode dated 19 February 2004	0	2004	\N	\N	Music
tt0871294	tvEpisode	Episode dated 26 February 2004	Episode dated 26 February 2004	0	2004	\N	\N	Music
tt0871295	tvEpisode	Episode dated 5 March 2004	Episode dated 5 March 2004	0	2004	\N	\N	Music
tt0871296	tvEpisode	Androcles and the Lion	Androcles and the Lion	0	1956	\N	\N	Drama,History,Music
tt0871297	tvEpisode	Episode dated 26 September 2006	Episode dated 26 September 2006	0	2006	\N	\N	Talk-Show
tt0871298	tvEpisode	Episode dated 27 September 2006	Episode dated 27 September 2006	0	2006	\N	\N	Talk-Show
tt0871299	tvEpisode	Last Edition	Last Edition	0	2006	\N	\N	Talk-Show
tt0871300	tvEpisode	Episode dated 26 September 2006	Episode dated 26 September 2006	0	2006	\N	\N	News,Sport,Talk-Show
tt0871302	tvEpisode	Episode #5.2	Episode #5.2	0	2006	\N	\N	Comedy,Talk-Show
tt0871303	tvEpisode	Dial P for Pink	Dial P for Pink	0	1969	\N	22	Animation,Comedy,Family
tt0871304	tvEpisode	We Give Pink Stamps	We Give Pink Stamps	0	1969	\N	23	Animation,Comedy,Family
tt0871305	tvEpisode	Odcinek 746	Odcinek 746	0	2006	\N	\N	Drama,Romance
tt0871306	tvEpisode	529	529	0	2006	\N	\N	Comedy,Drama,Romance
tt0871307	tvEpisode	Dirty Weekend	Dirty Weekend	0	1986	\N	\N	Comedy,Drama
tt0871308	tvEpisode	Episode dated 27 September 2006	Episode dated 27 September 2006	0	2006	\N	\N	Drama,Mystery,Romance
tt0871309	tvEpisode	La penúltima carta	La penúltima carta	0	1997	\N	\N	Comedy
tt0871310	tvEpisode	Episode dated 26 September 2006	Episode dated 26 September 2006	0	2006	\N	\N	Sport,Talk-Show
tt0871311	tvEpisode	Lupe Fiasco in the House	Lupe Fiasco in the House	0	2006	\N	\N	Music
tt0871312	tvEpisode	Grampa's Private War	Grampa's Private War	0	1959	\N	30	Comedy,Family
tt0871313	tvEpisode	The Lost Park	The Lost Park	0	1986	\N	\N	Drama,Family
tt0871314	tvEpisode	Revolution	Revolution	0	2006	\N	59	Documentary,Drama,History
tt0871315	tvEpisode	Episode dated 11 March 2005	Episode dated 11 March 2005	0	2005	\N	\N	Music,Talk-Show
tt0871316	tvEpisode	Episode dated 8 April 2005	Episode dated 8 April 2005	0	2005	\N	\N	Music,Talk-Show
tt0871317	tvEpisode	Episode dated 22 April 2005	Episode dated 22 April 2005	0	2005	\N	\N	Music,Talk-Show
tt0871318	tvEpisode	The Munnery	The Munnery	0	2006	\N	11	Adventure,Animation,Comedy
tt0871319	tvEpisode	Oya Festival: Episode 2	Oya Festival: Episode 2	0	2006	\N	\N	Music
tt0871320	tvEpisode	Episode dated 26 September 2006	Episode dated 26 September 2006	0	2006	\N	\N	Sport,Talk-Show
tt0871321	tvEpisode	There's No Place Like Home	There's No Place Like Home	0	2006	\N	\N	Drama
tt0871322	tvEpisode	Episode #1.1345	Episode #1.1345	0	1980	\N	22	Drama,Romance
tt0871324	tvEpisode	April	April	0	1981	\N	\N	Drama
tt0871325	tvEpisode	June	June	0	1981	\N	\N	Drama
tt0871326	tvEpisode	Diets	Diets	0	2007	\N	\N	\N
tt0871327	tvEpisode	Movie Treats	Movie Treats	0	2007	\N	\N	\N
tt0871328	tvEpisode	Secret Life of Sushi	Secret Life of Sushi	0	\N	\N	\N	\N
tt0871329	tvEpisode	A Hardy Breed of Girl	A Hardy Breed of Girl	0	1978	\N	\N	Drama
tt0871330	tvEpisode	Away All Boats	Away All Boats	0	1978	\N	\N	Drama
tt0871331	tvEpisode	Beware the Gentle People	Beware the Gentle People	0	1978	\N	\N	Drama
tt0871332	tvEpisode	Chickabiddy	Chickabiddy	0	1978	\N	\N	Drama
tt0871333	tvEpisode	Goosepimples	Goosepimples	0	1978	\N	\N	Drama
